OpenAI,Azure,Caption,Label,OpenAI_Conf,OpenAI_Azure_Conf,Azure_Conf,Animal,Building,Indoor,Outdoor,People
and the pianist Sergei Rachmaninoff arranged for her to live at the Garden City Hotel in Hempstead,a man sitting in a chair," Pianist and composer Sergei Rachmaninoff paid for Anna to stay at the Garden City Hotel on Long Island, where she first used the name Anderson.",1,0.9395,0.000818,0.4894322157,0,0,0,1,0
" history professor and genealogist John Eacott ""Jack"" Manahan",Gleb Botkin with a beard," Anderson's long-time supporter Gleb Botkin, c. 1960",2,0.2404,0.11005,0.5196769238,0,0,0,0,1
[143] which toured Europe and America with Viveca Lindfors in the title role,a person smiling and pointing," Actress Ingrid Bergman won an Academy Award for her starring role as ""Anna/Anastasia"" in the 1956 film Anastasia. Though inspired by Anderson's claim, the film is largely fictional.[141]",2,0.3708,0.0634,0.3183604777,0,0,0,0,0
The college was established in 1871 by the English philanthropist Thomas Rhodes Armitage and the American anti-slavery campaigner Francis Joseph Campbell,a brick building with a fence around it,The Royal National College for the Blind,1,0.3298,0.04678,0.4465343654,0,1,0,1,0
but in 1941 it purchased new premises at Rowton Castle near Shrewsbury and relocated there,a large brick building with a truck parked in front of it," Rowton Castle, near Shrewsbury, Shropshire, seen in 2005. RNC moved to Rowton during the Second World War and was based there until the late 1970s.",1,0.694,0.0002257,0.4319153726,0,1,0,1,0
In the early 2000s the halls of residence at the Hereford campus underwent an extensive £1,a building with trees in front,Dowdell Hall was one of the halls of residence at RNC to have its facilities upgraded in the early 2000s.,1,0.747,0.0038,0.4083536565,0,1,0,0,0
called for greater consultation between management and staff at the college,a building with a sign on the roof," Entrance to thePoint4, RNC's sports and leisure complex, seen in June 2009, shortly after its opening",1,0.344,0.02002,0.3473720551,0,1,0,0,0
The college has an active Students' Union which plays an important role in college life,a street with a building in the background," Orchard Hall, RNC's new halls of residence, which was built to replace an older building in 2008",2,0.4211,5.62E-05,0.3629212677,0,1,0,0,0
Prince Charles in a suit,Prince Charles in a suit,Prince Charles has been the college's Patron since 1997.,2,0.2979,0.2979,0.5714615583,0,0,0,0,1
a black and white photo of a busy city street,a black and white photo of a busy city street,The World Trade Center was built on the site of Manhattan's Radio Row (pictured).,1,0.2905,0.2905,0.4777123034,0,0,0,1,0
a construction site with a bridge,a construction site with a bridge," Excavation of the World Trade Center site, as seen in 1968",1,0.1859,0.1859,0.2842988074,0,1,0,1,0
Tested shale oil extraction techniques via demonstration projects,diagram," Alexander C. Kirk's retort, used in the mid-to-late 19th century, was one of the first vertical oil shale retorts. Its design is typical of retorts used in the end of 19th and beginning of 20th century.[1]",1,0.4553,0.01271,0.9998989701,0,0,0,0,0
Different methods produce shale oil with different properties,diagram,Overview of shale oil extraction,1,0.3284,8.30E-07,0.9154708982,0,0,0,0,0
the oil shale gas from these technologies is not diluted with combustion exhaust gas,diagram,Alberta Taciuk Processor retort,1,0.1548,0.0743,0.9920809269,0,0,0,0,0
Wall conduction in situ technologies use heating elements or heating pipes placed within the oil shale formation,engineering drawing,Shell's freeze wall for in situ shale oil production separates the process from its surroundings,2,0.3613,0.00041,0.3408283591,0,0,0,0,0
Externally generated hot gas in situ technologies use hot gases heated above-ground and then injected into the oil shale formation,a computer screen shot,Chevron CRUSH process,2,0.4695,5.36E-06,0.309774071,0,0,0,1,0
Oil shale is heated by vertical electrode arrays,a white plastic container with a lid and a fork on a white surface,Artist's rendition of a radio wave-based extraction facility,1,0.3625,0.0002496,0.2461207658,0,0,0,1,0
Sustained average world oil prices,"chart, line chart",NYMEX light-sweet crude oil prices 1996–2009 (not adjusted for inflation),1,0.851,0.001922,0.999384582,0,0,0,0,0
a close up of a grey surface,a close up of a grey surface,Spent shale often presents a disposal problem,1,0.303,0.303,0.3400748074,0,0,0,0,0
"[2]
This changed after the Dissolution of the Soviet Union: the end of Cold War and Space Race resulted in funding for the US modular space station (originally named Freedom)",a space shuttle in space,Space Shuttle Atlantis docked to Mir on STS-71,2,0.1565,0.01813,0.4325850308,0,0,0,1,1
The seven astronauts who took part in the Increments,a group of men posing for a photo,The seven American astronauts who carried out long-duration Increments on Mir,1,0.8335,0.0222,0.578697145,0,0,0,0,1
Mir was constructed between 1986 and 1996 and was the world's first modular space station,a space shuttle taking off from the earth,The view of Mir from Space Shuttle Discovery in 1998 as it left the station during STS-91,1,0.7,0.0001692,0.3917196095,0,0,0,1,0
A phase one “: space shuttle Atlantis docked seven times with a phase one “: space shuttle Atlantis docked seven times,a machine with a large yellow pipe,An overhead view of Atlantis as it sits atop the Mobile Launcher Platform (MLP) before STS-79,1,0.489,0.0004747,0.20223023,0,0,0,1,0
a rocket taking off from the ground,a rocket taking off from the ground," The Shuttle–Mir program begins—Discovery launches on STS-60, the first flight of the program.",1,0.2471,0.2471,0.4768152237,0,0,0,0,0
The WSF was flown at the end of Discovery's robotic arm over the course of the flight,a satellite above the earth,A view of Mir following Atlantis's undocking at the end of STS-71,1,0.2179,0.0967,0.4692609012,0,0,0,1,0
a problem which had been overcome during STS-71 by relocating the station's Kristall module to a different location on the station,a space shuttle taking off from a launch pad," The Mir Docking Module, positioned in Atlantis's payload bay on STS-74, ready to be docked to Kristall",2,0.306,1.81E-05,0.4719453156,0,0,0,1,0
which marked the first spacewalk which occurred around docked vehicles,a boat with a large amount of wood on the deck," Space Shuttle Atlantis docked to Mir during STS-81. The crew compartment, nose and a portion of the payload bay of Atlantis are visible, behind Mir's Kristall and Docking Modules.",1,0.3682,0.0009565,0.2885193229,0,0,0,1,0
inspecting the condition of hardware and running cables through a special hatch from Spektr's systems to the rest of the station,a close-up of a machine,A charred panel onboard Mir following the fire,1,0.2379,0.09174,0.4928282499,0,0,0,1,0
100 kg) of cargo experiments and supplies between the two spacecraft,a space suit on a planet," The International Space Station, Phase Two of the ISS program",1,0.3208,0.002607,0.3143691123,0,0,0,1,0
a man wearing a mask,a man wearing a mask,Astronaut Jerry Linenger wearing a respirator mask following the 1997 fire aboard Mir,1,0.2301,0.2301,0.5319603682,0,0,0,1,0
[27][28] It has a summit crater open to the north[17] and it has a volume of about 40 km3 (9,a helicopter flying over a mountain,View from within the caldera,2,0.3618,0.000392,0.4958820939,0,0,0,1,0
[47] These cones are the source of conspicuous black lava flows in the western part of the field;[48] some lava flows are over 30 km (19 mi) long,a black and white photo of a city,Cinder cones on the La Carbonilla fault,1,0.197,0.001135,0.3695263565,0,0,0,1,0
024 to 66 million years ago[45]) to Paleogene sediments of the Neuquén Basin and Miocene lava flows[26] such as the Tertiary Patagonian basalts,map,Geological context of the volcanoes,2,0.257,0.0132,0.9181295037,0,0,0,0,0
The geological history of the Payún Matrú volcanic field is poorly dated[41] but the field has been active since Pliocene at least,"diagram, funnel chart",Stratigraphy of Payún Matrú,1,0.385,0.00851,0.9103214145,0,0,0,0,0
the first of the major creeks in the county for which a bridge is mentioned,a river with a bridge over it," The Lycoming Valley Railroad bridge very near the mouth, where the Great Shamokin Path crossed Larrys Creek and Larry Burt lived.",1,0.5845,0.009895,0.4384900033,0,0,0,1,0
The city's smog in that period was caused by a combination of stationary sources,a statue in a city,"Great Smog of London, 1952Smog over Los Angeles, 1973",1,0.7617,0.0003386,0.354924202,0,0,0,0,0
"[17]
New York's smog event of 1966 was preceded by two other major episodes: the first in November 1953",a city with a tall building," A view toward the Chrysler Building from the Empire State Building amid the six-day smog of November 1953, estimated to have caused at least 200 deaths.[14]",1,0.6914,7.10E-06,0.2766629159,0,1,0,1,0
In 1963,Norman Cousins with a hand on his chin," A task force headed by Norman Cousins (pictured c. 1976) warned that the pollution in New York City was excessive and ""could become a gas chamber"" in the wrong weather conditions.[35]",2,0.3853,0.00567,0.4590356648,0,0,0,0,0
smog events occur not because of a sudden increase in a region's output of pollution,a city with a mountain in the background," Smog trapped under an inversion in Almaty, Kazakhstan—similar to the atmospheric conditions of the 1966 New York City smog.",1,0.3232,9.57E-05,0.4105204642,0,0,0,1,0
a building with debris and debris,a building with debris and debris," The incinerator plant at Gravesend Bay in Brooklyn, 1973. The 1966 smog demonstrated the interconnected nature of seemingly disparate problems of urban life, such as waste management and pollution.",1,0.2861,0.2861,0.2641269863,0,0,0,1,0
had run as a supporter of stronger air pollution control in his 1965 mayoral campaign,a man holding a book,John Lindsay (pictured in April 1966) was the mayor of New York City during the 1966 smog.Smog in May 1973. By 1972 New York City had cut levels of sulfur dioxide and particulates by half from their peak.[63],2,0.2737,0.002026,0.4169865847,0,0,0,0,1
[84] Its approval by Congress became a policy goal of Rockefeller's failed primary bid for the 1968 Republican presidential nomination,a man speaking to a man," Following the 1966 smog, air-pollution control became a major policy objective of both Nelson Rockefeller (left), the Republican Governor of New York, and Lyndon B. Johnson, the Democratic President.",1,0.2559,0.1327,0.4028241932,0,0,0,0,1
Congress passed and Johnson signed the 1967 Air Quality Act,a group of people standing around a podium," President Johnson signing the Air Quality Act of 1967. The law, a series of amendments to the 1963 Clean Air Act, was enacted in response to the 1966 smog.",1,0.7974,0.01996,0.4591315091,0,0,0,1,1
as a precedent used for comparison with the air effects caused by the collapse of the World Trade Center,a satellite image of a planet," A plume of smoke rising from lower Manhattan after the September 11 attacks, seen from space. Cumulative air pollution events like the 1966 smog contrast with the sudden pollution that resulted from the September 11 attacks.",2,0.3506,0.01614,0.3888924122,0,0,0,1,0
" said that images of visible air pollution in Beijing from 2012 were ""gross"" but not ""that much different from pictures of New York City in the 1950s and 1960s""",a city with fog,The 1966 New York smog served as a historical precedent for air pollution in China in the 2010s (pictured in Beijing in early 2013).,1,0.4353,0.02202,0.2911552191,0,0,0,1,0
[19] Bayliss had held a licence to practice vivisection since 1890 and had taught physiology since 1900,a man in a suit,Ernest Starling (1866–1927)William Bayliss (1860–1924),1,0.3987,0.00665,0.4361558855,0,0,0,0,1
was the granddaughter of a chamberlain to the King of Sweden,a person in a military uniform,Lizzy Lind af Hageby (1878–1963),2,0.6064,0.01949,0.4469180703,0,0,0,0,0
a group of people in a room,a group of people in a room,"The court was shown this reconstruction, with William Bayliss standing behind a dog on an operating board, and to his right, Ernest Starling, Henry Dale and Charles Scuttle, the laboratory technician.[22]",1,0.255,0.255,0.5099238753,0,0,0,1,0
Instead he gave an angry speech about the dog on 1 May 1903 to the annual meeting of the National Anti-Vivisection Society at St James's Hall in Piccadilly,a person sitting at a desk,Stephen Coleridge,2,0.8706,0.007298,0.4220244586,0,0,0,1,1
The trial opened at the Old Bailey on 11 November 1903 before Lord Alverstone,a person sitting at a table," Courtroom sketch by Frank Gillett, The Daily Graphic, November 1903. Starling is in the lower right corner; Bayliss, holding equipment, is in the centre.",2,0.8384,0.001096,0.3559092879,0,0,0,0,1
Lord Alverstone told the jury that the case was an important one of national interest,a man wearing a head scarf," Lord Alverstone, the Lord Chief Justice.",1,0.936,0.0005016,0.3515478969,0,0,0,1,0
a statue of a person on top of a stack of blocks,a statue of a person on top of a stack of blocks,The old Brown Dog by Joseph Whitehead,1,0.2476,0.2476,0.427323848,0,1,0,0,0
A new Conservative council was elected in November 1909 amid talk of removing the statue,a group of people standing in front of a tank," Demonstration on 19 March 1910, Trafalgar Square, to protest the statue's removal.[95]",1,0.5083,0.002317,0.4502682984,0,0,0,1,0
Marc Lépine arrived at the building housing the École Polytechnique,cars parked on the side of a road with snow on the ground,Exterior of École Polytechnique de Montréal,2,0.357,4.90E-06,0.4344470203,0,1,0,1,0
a park with benches and cars,a park with benches and cars," Marker of Change, memorial consisting of 14 coffin-like benches in Vancouver by artist Beth Alber",2,0.327,0.327,0.4647336304,0,0,0,1,0
a stone sculpture in a park,a stone sculpture in a park," Memorial in Minto Park, Ottawa",1,0.2732,0.2732,0.3840540051,0,0,0,1,0
a path with trees on either side,a path with trees on either side," Place du 6-Décembre-1989 (December 6, 1989 Place), Montreal, featuring the artwork Nef pour quatorze reines (Nave for Fourteen Queens) by Rose-Marie Goulet",1,0.3308,0.3308,0.3850640953,0,0,0,0,0
Male survivors of the massacre have been subjected to criticism for not intervening to stop Lépine,a tombstone in a graveyard," Memorial at John Hodgins Engineering Building, McMaster University",1,0.3538,0.1594,0.4165327847,0,0,0,0,0
"[84]
A memorial erected in Vancouver sparked controversy because it was dedicated to ""all women murdered by men",a white sign on a metal pole," Nef pour quatorze reines (Nave for fourteen queens), detail",2,0.2847,0.0552,0.3223722279,0,0,0,1,0
Lawrence E. Spivak wearing glasses,Lawrence E. Spivak wearing glasses,Lawrence Spivak in 1960,2,0.4768,0.4768,0.5223280787,0,0,0,0,1
Gordon Van Gelder wearing glasses,Gordon Van Gelder wearing glasses,Gordon Van Gelder in 2007,2,0.2179,0.2179,0.5745377541,0,0,0,0,1
Carl Sagan smiling and holding a pen,Carl Sagan smiling and holding a pen," Carl Sagan, astronomer and adviser to NASA, also wrote the hard science fiction novel Contact.",2,0.3025,0.3025,0.3846310675,0,0,0,0,1
Larry Niven in a black jacket,Larry Niven in a black jacket," Larry Niven, author of Ringworld, ""Inconstant Moon"", ""The Hole Man"" and others.",2,0.25,0.25,0.4189497828,0,0,0,0,1
with the player controlling the character Kratos in the same combination of combat,a video game with a cartoon of a flying bird and a building with trees and a blue wall,The game's 2D rendition of the series' 3D graphics featuring Kratos (left) attacking a minotaur and a dead rider. The HUD in the upper left corner shows the player's Health (green) and Magic (blue) Meters. The red dot with the number 10 indicates the number of red orbs collected.,1,0.6714,5.97E-05,0.2404907048,0,0,0,1,0
[11] The Tjele helmet fragment is the only such helmet found in Denmark,a close-up of a human skull,The decorated Anglo-Saxon Sutton Hoo helmet,1,0.3557,3.87E-05,0.5572416782,0,0,0,0,0
the great mead hall of the Danes in the Anglo-Saxon epic poem Beowulf,"text, letter"," Folio 137r of the Beowulf manuscript, showing lines 229–252[note 1]",1,0.619,0.0005827,0.9993277788,0,0,0,0,0
a black and white photo of a knife on the ground,a black and white photo of a knife on the ground,Aerial view of Ganoga Lake in 1938; the mansion is in the cleared area at left.,1,0.2471,0.2471,0.3668349385,0,0,0,0,0
"[7][8]
The house and hotel were on the east side of the old turnpike; a 100-acre (40 ha) field on the other side of the road had a small herd of milk cows and a vegetable garden to provide for the guests' needs",a building with a roof,The North Mountain House hotel in the early 1870s; a verandah connected the wooden Ark (left) and stone house (right).,1,0.3872,0.001633,0.252486378,0,1,0,1,0
In 1983 the stone house was listed on the National Register of Historic Places as the Clemuel Ricketts Mansion;[2] it serves as the association's headquarters and clubhouse,a house with a ladder,View from the northeast of the 1913 wing with its wrap-around kitchen porch; the original house is at left.,1,0.4573,0.0003738,0.2570106685,0,1,0,1,0
According to the architectural drawings made for the HABS,"diagram, engineering drawing"," First-floor plan of the Clemuel Ricketts Mansion, from the HABS",1,0.1951,0.04706,0.9998479486,0,0,0,0,0
It is a block away from the southern end of the Magnificent Mile portion of Michigan Avenue,a city with tall buildings,The site of the tower was occupied by the former Chicago Sun-Times building (low-rise building at left).,1,0.3135,0.008224,0.3070126474,0,1,0,1,0
1 m) above the main Wabash entrance and 70 feet (21 m) above the Chicago River,a city next to a body of water,The 1.2-acre (0.49 ha) riverfront park and riverwalk runs between Wrigley Building (right) and the hotel (left) at the foot of Rush Street,2,0.277,0.0004432,0.4933729172,0,0,0,1,0
[63] has views of the Chicago River and Lake Michigan as well as Navy Pier's seasonal Wednesday and Saturday evening fireworks,a river with buildings and lights,A view of Navy Pier's fireworks over Lake Michigan beyond the Chicago River as seen from Sixteen,1,0.824,0.05188,0.248067081,0,1,0,1,0
a willis tower with tall buildings,a street with tall buildings,"View from SouthChicago 'L' tracks, 35 East Wacker, and Trump International Hotel and Tower from Wabash Avenue in the Chicago LoopTrump Tower as seen from the overpass at Adams/Wabash station",1,0.29,0.005398,0.3590435982,0,1,0,1,0
first-class construction projects and first-class luxury hotel operations,a boat in the water,April 2006 view from Michigan Ave. Bridge with visible rebar,2,0.602,0.0005,0.4355237782,0,1,0,1,0
Donald Trump marketed his hotel by expressing doubts about the Chicago Spire ever being completed due to the financial crisis of 2007–2009,a tall building under construction," View from Richard J. Daley Center three months before the hotel opened amid construction (September 14, 2007)",2,0.7725,0.011375,0.4236923158,0,1,0,0,0
The function of the Maya stela was central to the ideology of Maya kingship from the very beginning of the Classic Period through to the very end of the Terminal Classic (800–900),a close-up of a rock," Detail of a stela from Arroyo de Piedra, later reused at Dos Pilas[22]",2,0.239,3.00E-07,0.3513602018,0,0,0,0,0
[7] Stelae could be of substantial size; Quiriguá Stela E measures 10,a tree stump with a hole in it," A typical stela-altar pairing from Takalik Abaj, both of them being plain monuments",1,0.4497,8.20E-05,0.2886551023,0,0,0,0,0
Although at Izapa the stelae depicted mythological scenes,a stone structure with writing on it,Stela 1 at El BaúlStela 5 at Takalik Abaj,1,0.1531,0.0002031,0.358566612,0,0,0,1,0
Stela 9 from the city is the first dated monument raised to mark off a period of time,a stone sculpture of a person,Stela 31 from TikalStela from Yaxha depicting a Teotihuacan-style warrior,1,0.6562,0.00951,0.2872693837,0,0,0,0,1
Copán developed a new high-relief style of stelae and in 652 the twelfth king Chan Imix Kʼawiil arranged a series of these stelae to define the sacred geometry of the city,a stone tower with trees in the background,Hieroglyphic text on the side of Stela E at Quiriguá,1,0.3962,1.43E-06,0.429374367,0,1,0,0,0
[122] The last known Maya stelae bearing a Long Count calendrical date are Toniná Monument 101,a large stone structure,"Stela 11 from Tikal, the last to be raised at the cityStela 11 from Seibal, displaying foreign influence",1,0.623,0.0044,0.2944377661,0,0,0,0,0
is another World Heritage site that also includes many stelae regarded as outstanding examples of Maya art,a black and white drawing,"Ixtonton Stela 2 on display at the Museo Regional del Sureste de Petén in Dolores, Guatemala[142]Aguateca Stela 6 on display at the Chilean Museum of Pre-Columbian Art in Santiago de Chile.",1,0.3843,1.40E-06,0.2569300532,0,0,0,0,0
and his successor Louis XII in 1499,a person in a military uniform,Hans Holbein the Younger's portrait of Henry VIII,2,0.1621,9.90E-06,0.4223846495,0,0,0,1,0
The construction of the Mary Rose began in 1510 in Portsmouth and she was launched in July 1511,a large city with many buildings and a river," The Embarkation of Henry VIII at Dover, a painting that commemorated King Henry's voyage to the Field of the Cloth of Gold in 1520, painted in 1540. The vessels in the painting are shown decorated with wooden panels similar to those that would have been used on the Mary Rose on special occasions.",1,0.938,2.55E-05,0.216794908,0,0,0,1,0
The Mary Rose was substantially rebuilt in 1536,map," The Mary Rose as depicted in the Anthony Roll. The distinct carrack profile with high ""castles"" fore and aft can clearly be seen. Although the number of guns and gun ports is not entirely accurate, the picture is overall an accurate illustration of the ship.",1,0.553,1.40E-06,0.5934075117,0,0,0,1,0
Although only the lower fittings of the rigging survive,a group of chocolates,A small selection of the many rigging blocks raised from the Mary Rose,1,0.4158,0.02037,0.3630621135,0,0,0,0,0
Gunports cut in the hull of ships had been introduced as early as 1501,a painting of a ship,An illustration from a French edition of the Froissart Chronicle depicting the battle of Sluys in 1340. The picture clearly shows how medieval naval tactics focused on close combat fighting and boarding.,1,0.3696,0.00188,0.3049141765,0,0,0,1,0
As the Mary Rose was built and served during a period of rapid development of heavy artillery,a group of people standing next to a large metal object,Two culverins and two demi-cannons from the Mary Rose on display at the Mary Rose Museum,1,0.4167,0.002256,0.352376461,0,0,0,1,0
bracers (arm guards) and other archery-related equipment,a group of metal pieces," Some of the bollock daggers found on board the Mary Rose; for most of the daggers, only the handles have remained while the blades have either rusted away or have been preserved only as concretions.",1,0.5405,0.01176,0.2732930183,0,1,0,1,0
father of Richard Grenville of the Elizabethan-era Revenge,a close-up of a man," Vice-Admiral George Carew, who perished with the Mary Rose; contemporary miniature by Hans Holbein the Younger",2,0.667,0.0167,0.4633218944,0,0,0,0,1
A follow-up attack in early 1514 was supported by a naval force that included the Mary Rose,a painting of a ship,A contemporary illustration of Germain de Brie's poem Chordigerae navis conflagratio depicting the Cordelière and Regent ablaze after the explosion on board the former,1,0.2393,0.004116,0.3963196874,0,0,0,1,0
In 1544 Henry had agreed to attack France together with Emperor Charles V,a portrait of a person," Drawing of the French admiral, Claude d'Annebault, commander of the French naval force that launched the attack on the Isle of Wight; François Clouet, January 1535",1,0.7227,0.006973,0.5765112042,0,0,0,0,0
The English were becalmed in port and unable to manoeuvre,a large flat landscape," The Cowdray Engraving, depicting the Battle of the Solent. The main and foremasts of the recently sunken Mary Rose are in the middle; bodies, debris and rigging float in the water and men are clinging to the fighting tops.",2,0.3093,0.001623,0.2282336801,0,0,0,1,0
A large building with a large building,a large building with a tower," Southsea Castle, whence Henry VIII witnessed the last battle and demise of the Mary Rose. The castle has been heavily altered since that time.[70]",2,0.3381,0.1648,0.2267158628,0,1,0,1,0
It could have been after Henry VIII's death in January 1547 or even as late as 1549,a person in a robe," Charles Brandon, brother-in-law of King Henry VIII through marriage with Mary Tudor, who took charge of the failed salvage operation in 1545",2,0.469,0.00204,0.3582344651,0,0,0,0,1
The recovery of small wooden objects like longbows suggests that Deane did manage to penetrate the Tudor levels at some point,a close-up of a few bullets," Watercolour painting of two perspectives of a sling, a wrought iron gun, complete with two-wheeled gun carriage (wheels missing) and part of another iron sling. The paintings were made to record some of the finds raised by the Deane brothers 1836–40.",2,0.4302,0.002518,0.3195540607,0,0,0,1,0
To address these concerns it was suggested that the hull should be placed on top of a supporting steel cradle underwater,a large ship in the water,The wreck of the Mary Rose clear of the water.,2,0.2668,0.0001243,0.3491515219,0,0,0,1,0
this variety of tools belonged to one or several of the carpenters employed on the Mary Rose,a hammer and a hammer," A mallet, brace, plane, ruler, and various other carpentry tools, most of which were found in chests stowed in one of the main deck cabins.",1,0.7163,0.0002087,0.2833004594,0,0,0,0,0
a group of people in clothing,a group of people in clothing," Along with the medical equipment were also personal items belonging to the barber-surgeon, including an expensive silk velvet coif identical to those worn by the members of the Worshipful Company of Barbers in this painting by Hans Holbein the Younger from 1540.[130]",1,0.2993,0.2993,0.4171104431,0,0,0,1,1
an active three-phase conservation programme of the hull of the Mary Rose began in 1994,a train track with lights,The Mary Rose being sprayed with water at the facility in Portsmouth in March 1984. Between December 1984 and July 1985 the steel cradle was gradually rotated to stand with the keel in an almost upright position.[135],1,0.7383,1.94E-05,0.3266405463,0,0,0,1,0
The upper surface and the sides of the hindfeet are white and appear naked,a skull with a black background," Skull from Cerro Azul, Panama, seen from below[1]",2,0.3843,0.07806,0.3697718084,0,1,0,1,0
as indicated by the condition of various foramina (openings) and grooves in the skull,a close up of a white animal,"Skull from Tuis, Costa Rica (holotype of Oryzomys nitidus alleni Goldman)[1]",1,0.2108,0.0007253,0.3527004421,0,0,0,1,0
A spiny rats proechimys semispinosus of an upper latitudinal record's pseudoschoengastia bulkier),a collage of a man's face," Upper (left) and lower (right) molar rows of a specimen from Cerro Azul, Panama[63]",1,0.2734,6.21E-05,0.3942349553,0,0,0,0,0
or that the ring-tailed lemur is nested in with the bamboo lemurs,a grey and white animal,Genetic analysis indicates that ring-tailed lemurs (left) are more closely related to the two genera of bamboo lemurs (Prolemur [center] and Hapalemur [right]) than they are to other members of the family Lemuridae.,1,0.628,0.0001403,0.3012302518,0,0,0,0,0
[20] Its head–body length ranges between 39 and 46 cm (15 and 18 in),a close-up of a pretzel,"The ring-tailed is a strepsirrhine primate, with a protruding muzzle and a wet nose.",1,0.185,4.70E-06,0.4972162545,0,0,0,0,0
The first lower premolar (p2) following the toothcomb is shaped like a canine (caniniform) and occludes the upper canine,a close up of a person's hand," The front, lower dentition includes a toothcomb (4 incisors and 2 canine teeth), while the first premolars resemble canines.",1,0.1809,0.0001783,0.4540421069,0,0,0,0,0
"[39]
Despite being quadrupedal the ring-tailed lemur can rear up and balance on its hind legs",a lemur carrying a baby lemur,The ring-tailed lemur will sit facing the sun to warm itself in the mornings.,1,0.2285,0.07416,0.5072466135,0,0,0,0,0
"[41]
Ring-tailed lemurs have also been shown to mark using urine",a group of trees,Play media Male ring-tailed lemurs will scent-mark saplings and branches by spur-marking.,1,0.3113,6.33E-05,0.2924748361,0,0,0,0,0
000 ring-tailed lemurs are estimated to be left in the wild,a group of animals walking,Ring-tailed lemurs are a common sight at Berenty Private Reserve in southern Madagascar.,2,0.2842,0.00375,0.3979184628,0,0,0,1,0
subalpine lupine,a close-up of flowers," Lupine, a major part of the Olympic marmot's diet, near Hurricane Ridge",1,0.9956,0.0003846,0.4588936567,0,0,0,0,0
Olympic marmots can sometimes be found lying on rocks where they sun themselves for warmth,a brown animal on a rock,Olympic marmot sunbathing at Hurricane Ridge,1,0.6294,0.007214,0.4029715955,0,0,0,1,0
but 90% of its total habitat is protected due to being in Olympic National Park,a high angle view of a sea," Relief map of Olympic National Park, where the Olympic marmot is protected",1,0.7134,0.001661,0.3199416995,0,0,0,1,0
1 oz) Madame Berthe's mouse lemur,a small animal in a tree,The mouse lemurs are the smallest primates in the world and also one of the most speciose of lemur genera.,1,0.881,0.005318,0.4486114383,1,0,0,0,0
In the first volume of the 10th edition of Systema Naturae (1758),"text, letter",Lemurs were first formally classified in the 10th edition of Systema Naturae.,1,0.9956,1.55E-06,0.9602694511,0,0,0,0,0
the cheirogaleids (dwarf and mouse lemurs) were placed with the other lemurs from Gregory's 1915 classification until the early 1970s,a cat and a dog lying on a blanket,The aye-aye has traditionally been difficult to classify due to its unique physical traits.,1,0.1152,1.00E-06,0.419840008,0,0,0,0,1
the fork-marked lemurs were initially placed in Lemur and then in Microcebus with the mouse lemurs before being placed in their own genus Phaner,a person holding a bat,The naming of the extinct Babakotia radofilai in 1990 added another genus to the list of subfossil lemurs.,1,0.704,0.01005,0.341870755,0,0,0,0,0
[108] and four subspecies of sifaka (Propithecus coquereli,a monkey holding a tree branch," Many subspecies have been promoted to species status, yielding nine species for the genus Propithecus.",1,0.2969,0.0787,0.5020869374,0,0,0,0,0
the second of which had been considered a therapsid stem-mammal until then due to its dentition,a close up of a fish,"Play media Timelapse video showing the construction of a model built around a skull cast, including musculature",1,0.3237,9.74E-05,0.461132884,0,0,0,0,0
Butler and colleagues conducted computer tomography scans of the juvenile skull SAM-PK-K10487,a close-up of a rock formation,"Play media CT scan video showing replacement teeth and wear facet orientation in AMNH 24000, a partial skull",1,0.2805,2.27E-05,0.4383003116,0,0,0,0,0
Argentinosaurus huinculensis,text," Skeletal reconstruction, holotype material in white, referred femoral shaft in green, referred femur in blue, unknown bones in grey",2,0.7466,1.60E-05,0.1977906674,0,0,0,1,0
The more complete taxon can then be scaled up to match the dimensions of Argentinosaurus,icon," Size comparison of selected giant sauropod dinosaurs, Argentinosaurus in red and second from the left",1,0.1616,5.20E-06,0.5058978796,0,0,0,1,0
A 2010 study mentioned another vertebra of an argentinosaurus likely possessed 10 dorsal vertebrae,a statue of a bull,Dorsal vertebra cast in left side view at the Natural History Museum of Los Angeles County,1,0.4253,0.001441,0.3545766473,0,0,0,1,0
The complete femur that was assigned to Argentinosaurus is 2,a statue of a person," Assigned femur (upper thigh bone), Museo de La Plata.",1,0.1642,0.1164,0.4727035463,0,0,0,0,1
Sellers and colleagues used a computer model of the skeleton and muscles of Argentinosaurus to study its speed and gait,a large room with a statue," Reconstructed skeleton in side view, Fernbank Museum of Natural History",1,0.2144,0.000523,0.2368815988,0,0,0,1,0
the sauropods of the Huincul Formation are represented by another titanosaur,text," Size comparison of several dinosaurs from the Huincul Formation, Argentinosaurus in blue",1,0.602,1.42E-05,0.3868349195,0,0,0,1,0
Although Fuegians from Patagonia may have visited the Falkland Islands in prehistoric times,a landscape with hills and a few buildings," Depiction of a Falklands corral, shepherds and sheep in 1849 (painting by Royal Navy Admiral Edward Fanshawe)",2,0.1288,0.05453,0.2585349679,0,0,0,0,0
a white picket fence in front of a house and a white picket fence,a white picket fence in front of a house and a white picket fence,Government House in Stanley is the Governor's official residence.,1,0.2534,0.2534,0.454115361,0,0,0,1,0
[105] The archipelago's two main islands are separated by the Falkland Sound,map,Map of the Falkland Islands,2,0.3938,0.0001863,0.9993204474,0,0,0,0,0
